name2	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds
OR4F5	NM_001005484	chr1	+	69090	70008	69090	70008	1	69090,	70008,
OR4F29	NM_001005221	chr1	-	450739	451678	450739	451678	1	450739,	451678,
OR4F3	NM_001005224	chr1	-	450739	451678	450739	451678	1	450739,	451678,
OR4F16	NM_001005277	chr1	-	450739	451678	450739	451678	1	450739,	451678,
OR4F29	NM_001005221	chr1	-	685715	686654	685715	686654	1	685715,	686654,
OR4F3	NM_001005224	chr1	-	685715	686654	685715	686654	1	685715,	686654,
OR4F16	NM_001005277	chr1	-	685715	686654	685715	686654	1	685715,	686654,
SAMD11	NM_152486	chr1	+	925730	944574	925941	944153	14	925730,925921,930154,931038,935771,939039,939274,941143,942135,942409,942558,943252,943697,943907,	925800,926013,930336,931089,935896,939129,939460,941306,942251,942488,943058,943377,943808,944574,
NOC2L	NM_015658	chr1	-	944202	959256	944693	959240	19	944202,945056,945517,946172,946401,948130,948489,951126,951999,952411,953174,953781,954003,955922,956094,956893,957098,958928,959214,	944800,945146,945653,946286,946545,948232,948603,951238,952139,952600,953288,953892,954082,956013,956215,957025,957273,959081,959256,
KLHL17	NM_198317	chr1	+	960583	965719	960693	965191	12	960583,961292,961628,961825,962354,962703,963108,963336,963919,964106,964348,964962,	960800,961552,961750,962047,962471,962917,963253,963504,964008,964180,964530,965719,
PLEKHN1	NM_001160184	chr1	+	966481	975865	966531	974575	15	966481,966703,970276,970520,970685,970878,971076,971323,972074,972287,972860,973499,973832,974315,974441,	966614,966803,970423,970601,970758,971006,971208,971404,972150,972424,973010,973640,974051,974364,975865,
PLEKHN1	NM_032129	chr1	+	966481	975865	966531	974575	16	966481,966703,970276,970520,970685,970878,971112,971323,972074,972287,972860,973185,973499,973832,974315,974441,	966614,966803,970423,970601,970758,971006,971208,971404,972150,972424,973010,973326,973640,974051,974364,975865,
PERM1	NM_001291366	chr1	-	975197	982093	976171	981029	4	975197,976498,978880,982064,	976269,976624,981047,982093,
HES4	NM_001142467	chr1	-	998963	1000097	999058	999973	3	998963,999525,999691,	999432,999613,1000097,
HES4	NM_021170	chr1	-	998963	1000097	999058	999973	4	998963,999525,999691,999865,	999432,999613,999787,1000097,
ISG15	NM_005101	chr1	+	1013496	1014539	1013573	1014478	2	1013496,1013983,	1013576,1014539,
